playerID,year,tmID
adairje01w,11,MIN
adamsda01w,11,SAS
ajavoma01w,11,WAS
anosini01w,11,WAS
appelja01w,11,SAS
augusse01w,11,MIN
ayimmi01w,11,TUL
balesal01w,11,ATL
beviltu01w,11,SAS
birdsu01w,11,SEA
bjorkan01w,11,CHI
bobbish01w,11,IND
bonnede01w,11,PHO
braxtka01w,11,NYL
braxtka01w,11,PHO
brelaje01w,11,CON
brelaje01w,11,NYL
brunsre01w,11,MIN
camba01w,11,TUL
cantydo01w,11,CHI
carsoes01w,11,NYL
cashsw01w,11,SEA
castriz01w,11,ATL
catchta01w,11,IND
charlti01w,11,CON
cheekjo01w,11,WAS
chestfe01w,11,NYL
chriska02w,11,TUL
chriska02w,11,WAS
colemma01w,11,WAS
colsosy01w,11,NYL
currimo01w,11,WAS
davenje01w,11,IND
desouer01w,11,ATL
douglka01w,11,IND
dunlavi01w,11,WAS
dupreca01w,11,PHO
elysh01w,11,IND
ferdima01w,11,PHO
fowlesy01w,11,CHI
gardike01w,11,WAS
graylal01w,11,PHO
greenka01w,11,CON
griffke01w,11,CON
hammobe01w,11,SAS
hardili01w,11,ATL
harriam01w,11,MIN
hightal01w,11,CON
hodgedo01w,11,TUL
hodgero01w,11,SAS
hoffmeb01w,11,LAS
holliqu01w,11,NYL
holtam01w,11,TUL
hornbal01w,11,MIN
houstch01w,11,MIN
ibekwif01w,11,SEA
irvinsa01w,11,ATL
jacksla01w,11,SEA
jacksti02w,11,TUL
januabr01w,11,IND
johnste01w,11,PHO
jonesas01w,11,CON
jonesma01w,11,TUL
kobryew01w,11,SEA
kraayca01w,11,CHI
lacyje01w,11,TUL
lacyna01w,11,LAS
langhcr01w,11,WAS
lattaiv01w,11,TUL
lavenja01w,11,LAS
lawsoka01w,11,CON
lehnish01w,11,ATL
lennobe01w,11,TUL
littlca01w,11,SEA
lyttlsa01w,11,ATL
mazzake01w,11,ATL
mccouan01w,11,ATL
mccrada01w,11,CON
mcwilta01w,11,MIN
milleco01w,11,ATL
milleke01w,11,WAS
miltode01w,11,LAS
mitchle01w,11,NYL
monroja01w,11,TUL
montgal01w,11,NYL
montgre01w,11,CON
mooreje01w,11,CON
moorema01w,11,MIN
murphsh01w,11,CHI
oheaje01w,11,LAS
olajuab01w,11,TUL
parisco01w,11,ATL
parkeca01w,11,LAS
pederka01w,11,TUL
penicti01w,11,LAS
perkiji01w,11,SAS
philler01w,11,IND
phillpo01w,11,SAS
phillta02w,11,NYL
phillta02w,11,WAS
pierspl01w,11,NYL
pohleje01w,11,IND
pondeca01w,11,NYL
powelni01w,11,NYL
pricear01w,11,ATL
princep01w,11,CHI
pringla01w,11,LAS
quiglal01w,11,SEA
quinnno01w,11,LAS
reedch01w,11,TUL
rileyan01w,11,TUL
rileyru01w,11,SAS
robinas01w,11,SEA
robinda01w,11,SAS
sanfona01w,11,PHO
sanniol01w,11,PHO
smithka01w,11,SEA
smithta01w,11,IND
snellbe01w,11,SEA
snowmi01w,11,CHI
spencsi01w,11,NYL
spencsi01w,11,PHO
suttota01w,11,IND
swanike01w,11,PHO
swoopsh01w,11,TUL
swordca01w,11,CHI
tauradi01w,11,PHO
taylope01w,11,PHO
thomaja01w,11,WAS
thomakr01w,11,PHO
thomakr01w,11,SEA
thompti01w,11,LAS
thorner01w,11,CHI
tolivkr01w,11,LAS
vandeco01w,11,CHI
vaughki01w,11,NYL
walkede01w,11,CON
walkede01w,11,WAS
whaleli01w,11,MIN
whiteta01w,11,CON
wiggica01w,11,MIN
willile01w,11,SEA
wisdoli01w,11,CHI
wrighmo01w,11,MIN
wrighta01w,11,SEA
youngso01w,11,SAS
youngta01w,11,CHI
zellosh01w,11,IND
